date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:20	221556/221556	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2013:33:24%20GMT	https://en.wikipedia.org/wiki/Heapsort	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/wiki/Heapsort.html	(from )
20:26:20	5106/5106	---M-Z	200	added ('OK')	text/plain	date:Mon,%2025%20Nov%202024%2018:30:48%20GMT	https://en.wikipedia.org/robots.txt		(from )
20:26:20	199494/199494	---M-Z	200	added ('OK')	text/css	etag:W/%22ixj51%22	https://en.wikipedia.org/w/load.php?lang=en&modules=ext.cite.styles%7Cext.math.styles%7Cext.pygments%2CwikimediaBadges%7Cext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediamessages.styles%7Cjquery.makeCollapsible.styles%7Cskins.vector.icons%2Cstyles%7Cskins.vector.search.codex.styles%7Cwikibase.client.init&only=styles&skin=vector-2022	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/load4961.css	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:21	7407/7407	---M-Z	200	added ('OK')	text/css	etag:W/%22ncsa1%22	https://en.wikipedia.org/w/load.php?lang=en&modules=site.styles&only=styles&skin=vector-2022	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/loada24d.css	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://en.m.wikipedia.org/wiki/Heapsort	C:/My%20Web%20Sites/Wiki/en.m.wikipedia.org/wiki/Heapsort.3.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/	C:/My%20Web%20Sites/Wiki/upload.wikimedia.org/index.html	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:22	133170/133170	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2019:26:05%20GMT	https://en.wikipedia.org/w/index.php?title=Heapsort&action=edit	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/index7d98.html	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:23	1313/1313	---M--	200	added ('OK')	image/png	etag:%22521-62309f0dda7c0%22	https://en.wikipedia.org/static/apple-touch/wikipedia.png	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/apple-touch/wikipedia.png	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:23	2734/2734	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22aae-62309f0dda7c0%22	https://en.wikipedia.org/static/favicon/wikipedia.ico	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/favicon/wikipedia.ico	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:23	906/906	---M-Z	200	added ('OK')	application/opensearchdescription+xml	date:Wed,%2027%20Nov%202024%2019:23:53%20GMT	https://en.wikipedia.org/w/rest.php/v1/search	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/rest.php/v1/search	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://en.wikipedia.org/w/api.php?action=rsd	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/api.8251f.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:24	29722/29722	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2016:00:45%20GMT	https://creativecommons.org/licenses/by-sa/4.0/deed.en	C:/My%20Web%20Sites/Wiki/creativecommons.org/licenses/by-sa/4.0/deed.html	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:25	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2027%20Nov%202024%2019:26:08%20GMT	https://en.wikipedia.org/w/index.php?title=Special:RecentChanges&feed=atom	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/w/index.a890f.delayed	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://meta.wikimedia.org/	C:/My%20Web%20Sites/Wiki/meta.wikimedia.org/index.html	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:25	13444/13444	---M--	200	added ('OK')	image/png	etag:%223484-62309f0dda7c0%22	https://en.wikipedia.org/static/images/icons/wikipedia.png	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/images/icons/wikipedia.png	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://login.wikimedia.org/	C:/My%20Web%20Sites/Wiki/login.wikimedia.org/index.html	(from https://en.wikipedia.org/wiki/Heapsort)
20:26:25	6170/6170	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22181a-62309f0dda7c0%22	https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg	C:/My%20Web%20Sites/Wiki/en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg	(from https://en.wikipedia.org/wiki/Heapsort)
